Advertising: Advergames
Advertising: Unhealthy food
Computer use: General
e-Books: General
e-Books: Narration
Internet use: Cyberbullying victimization
Internet use: General
Screen use: General
Screen use: General (coviewing)
Screen use: General (mobile phone at bed time)
Screen use: General (mobile phone)
Screen use: Prosocial content
Screen use: Sexual content
Screen-based intervention: Augmented reality (in schools)
Screen-based intervention: Cognitive training
Screen-based intervention: Dynamic geometry software
Screen-based intervention: Education (general)
Screen-based intervention: Education (via computer)
Screen-based intervention: Education (via touch screen)
Screen-based intervention: Fruit and vegetable
Screen-based intervention: Health behaviours
Screen-based intervention: Lifestyle risk behaviour (at school)
Screen-based intervention: Literacy
Screen-based intervention: Literacy (Abracadabra; in schools)
Screen-based intervention: Literacy (phonics; via computer)
Screen-based intervention: Literacy videos
Screen-based intervention: Mathematics
Screen-based intervention: Mathematics (in schools)
Screen-based intervention: Mathematics (via computer in classrooms)
Screen-based intervention: Media literacy (web-based)
Screen-based intervention: Pronunciation
Screen-based intervention: Reading (in schools)
Screen-based intervention: Science (in schools)
Screen-based intervention: Screentime reduction
Screen-based intervention: Sesame Street
Screen-based intervention: To promote health (via mobile phone app)
Screen-based intervention: To promote health (via mobile phone)
Screen-based intervention: To promote health (via text message)
Screen-based intervention: To promote healthy weight (obesity prevention)
Screen-based intervention: With digital characters
Screen-based intervention: Writing feedback
Social Media: General
Social Media: Instant messaging
TV programs and movies: Coviewing
TV programs and movies: Educational
TV programs and movies: General
TV programs and movies: General (in background)
TV programs and movies: Mealtime
TV programs and movies: Scary content
TV programs and movies: Violent content
Video game console: General
Video games: General
Video games: Health promoting content
Video games: Numeracy
Video games: Physically active
Video games: Violent content
