Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
34670,34670_003,34670_003_27,Davidson,1985,-999,54,0.16,Cohen's d,-999,-999,-999,-999,-999,-999,18,36,-999,-999,FALSE
34670,34670_003,34670_003_28,Ngaiyaye,1986,-999,222,0.1,Cohen's d,-999,-999,-999,-999,-999,-999,137,85,-999,-999,FALSE
34670,34670_003,34670_003_29,Portis,1991,-999,187,0.91,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
34670,34670_003,34670_003_30,Chiang,1978,-999,149,0.19,Cohen's d,-999,-999,-999,-999,-999,-999,99,50,-999,-999,FALSE
34670,34670_003,34670_003_31,Saunders,1978,-999,101,0.14,Cohen's d,-999,-999,-999,-999,-999,-999,57,44,-999,-999,FALSE
34670,34670_003,34670_003_32,Jhin,1971,-999,94,0.16,Cohen's d,-999,-999,-999,-999,-999,-999,56,38,-999,-999,FALSE
34670,34670_003,34670_003_33,Clarke,1993,-999,92,0.13,Cohen's d,-999,-999,-999,-999,-999,-999,62,30,-999,-999,FALSE
34670,34670_003,34670_003_34,Watkins,1991,-999,180,0.01,Cohen's d,-999,-999,-999,-999,-999,-999,90,90,-999,-999,FALSE
34670,34670_003,34670_003_35,McCart,1996,-999,52,1.2,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
34670,34670_003,34670_003_36,Ysseldyke,2006,-999,1000,0.07,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
34670,34670_003,34670_003_37,Gaeddert,2001,-999,100,0.35,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
34670,34670_003,34670_003_38,Atkins,2005,-999,542,-0.26,Cohen's d,-999,-999,-999,-999,-999,-999,354,188,-999,-999,FALSE
34220,34220_002,34220_002_1,Anderson,1978,156,300,-0.09,Correlation,-999,-999,-999,0.09,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_2,Childers,1973,317,100,-0.08,Correlation,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_3,Furu,1971,-999,1303,-0.16,Correlation,-999,-999,-999,0.05,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_4,Gadberry,1977,-999,90,-0.17,Correlation,-999,-999,-999,0.07,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_5,Greenstein,1954,161,67,-0.26,Correlation,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_6,Heideman,1957,-999,199,0.05,Correlation,-999,-999,-999,0.23,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_7,Himmelweit,1958,-999,1845,-0.15,Correlation,-999,-999,-999,0.21,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_8,Kohr,1979,-999,10037,-0.11,Correlation,-999,-999,-999,0.04,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_9,LaBlonde,1966,-999,-999,-0.28,Correlation,-999,-999,-999,0.19,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_10,Lyle,1972,-999,1694,-0.02,Correlation,-999,-999,-999,0.08,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_11,Mayeske,1969,-999,33233,0,Correlation,-999,-999,-999,0.12,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_12,Morgan,1980,-999,602,-0.08,Correlation,-999,-999,-999,0.12,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_13,Nelson,1963,-999,200,-0.22,Correlation,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_14,Perney,1976,-999,202,0,Correlation,-999,-999,-999,0.19,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_15,Rhode,1977,-999,2785,-0.01,Correlation,-999,-999,-999,0.12,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_16,Rhode,1977,-999,3702,-0.15,Correlation,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_17,Schramm,1961,-999,256,0.18,Correlation,-999,-999,-999,0.2,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_18,Scott,1956,25,407,-0.14,Correlation,-999,-999,-999,0.06,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_19,Haertel,1979,-999,15000,-0.02,Correlation,-999,-999,-999,0.07,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_20,Slater,1963,-999,150,-0.16,Correlation,-999,-999,-999,0.07,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_21,Tan,1979,827,74,0.1,Correlation,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_22,Texan Assessment,1977,-999,10400,-0.08,Correlation,-999,-999,-999,0.11,-999,-999,-999,-999,-999,-999,FALSE
34220,34220_002,34220_002_23,Thompson,1964,171,100,-0.15,Correlation,-999,-999,-999,0.19,-999,-999,-999,-999,-999,-999,FALSE
20223,20223_015,20223_015_1,Beagles-Roos,1983,128,48,0.34,Hedge's g,-999,-999,-999,-999,-999,-999,24,24,-999,-999,FALSE
20223,20223_015,20223_015_2,Critelli,2011,-999,10,0,Hedge's g,-999,-999,-999,-999,-999,-999,5,5,-999,-999,FALSE
20223,20223_015,20223_015_3,de Jong,2002,145,24,-0.27,Hedge's g,-999,-999,-999,-999,-999,-999,12,12,-999,-999,FALSE
20223,20223_015,20223_015_4,de Jong,2004,378,36,-0.53,Hedge's g,-999,-999,-999,-999,-999,-999,18,18,-999,-999,FALSE
20223,20223_015,20223_015_5,Gazella,2003,61,29,-0.11,Hedge's g,-999,-999,-999,-999,-999,-999,15,14,-999,-999,FALSE
20223,20223_015,20223_015_6,Gibbons,1986,1014,96,0.52,Hedge's g,-999,-999,-999,-999,-999,-999,48,48,-999,-999,FALSE
20223,20223_015,20223_015_7,Hayes,1986,341,44,-0.45,Hedge's g,-999,-999,-999,-999,-999,-999,22,22,-999,-999,FALSE
20223,20223_015,20223_015_8,Homer,2014,37,26,0.26,Hedge's g,-999,-999,-999,-999,-999,-999,12,14,-999,-999,FALSE
20223,20223_015,20223_015_9,Homer,2014,37,26,0.37,Hedge's g,-999,-999,-999,-999,-999,-999,12,14,-999,-999,FALSE
20223,20223_015,20223_015_10,Korat,2007,248,50,0.06,Hedge's g,-999,-999,-999,-999,-999,-999,25,25,-999,-999,FALSE
20223,20223_015,20223_015_11,Korat,2007,248,50,-0.03,Hedge's g,-999,-999,-999,-999,-999,-999,25,25,-999,-999,FALSE
20223,20223_015,20223_015_12,Korat,2007,248,100,-0.13,Hedge's g,-999,-999,-999,-999,-999,-999,50,50,-999,-999,FALSE
20223,20223_015,20223_015_13,Meringoff,1980,-999,48,-0.21,Hedge's g,-999,-999,-999,-999,-999,-999,24,24,-999,-999,FALSE
20223,20223_015,20223_015_14,Neuman,1989,38,27,0.32,Hedge's g,-999,-999,-999,-999,-999,-999,17,10,-999,-999,FALSE
20223,20223_015,20223_015_15,Pezdek,1984a,2072,48,1.02,Hedge's g,-999,-999,-999,-999,-999,-999,24,24,-999,-999,FALSE
20223,20223_015,20223_015_16,Pezdek,1984a,2072,48,0.55,Hedge's g,-999,-999,-999,-999,-999,-999,24,24,-999,-999,FALSE
20223,20223_015,20223_015_17,Pezdek,1984b,212,48,0.59,Hedge's g,-999,-999,-999,-999,-999,-999,24,24,-999,-999,FALSE
20223,20223_015,20223_015_18,Ricci,2002,138,33,0.23,Hedge's g,-999,-999,-999,-999,-999,-999,16,17,-999,-999,FALSE
20223,20223_015,20223_015_19,Robb,2010,-999,35,-0.06,Hedge's g,-999,-999,-999,-999,-999,-999,23,12,-999,-999,FALSE
20223,20223_015,20223_015_20,Segers,2006,343,17,0.62,Hedge's g,-999,-999,-999,-999,-999,-999,9,8,-999,-999,FALSE
20223,20223_015,20223_015_21,Segers,2004,215,82,-0.08,Hedge's g,-999,-999,-999,-999,-999,-999,41,41,-999,-999,FALSE
20223,20223_015,20223_015_22,Segers,2004,215,82,-0.02,Hedge's g,-999,-999,-999,-999,-999,-999,41,41,-999,-999,FALSE
20223,20223_015,20223_015_23,Segers,2004,215,60,-0.41,Hedge's g,-999,-999,-999,-999,-999,-999,30,30,-999,-999,FALSE
20223,20223_015,20223_015_24,Segers,2004,215,60,-0.18,Hedge's g,-999,-999,-999,-999,-999,-999,30,30,-999,-999,FALSE
20223,20223_015,20223_015_25,Shamir,2012,45,76,0.45,Hedge's g,-999,-999,-999,-999,-999,-999,42,34,-999,-999,FALSE
20223,20223_015,20223_015_26,Sharp,1995,25,36,1.43,Hedge's g,-999,-999,-999,-999,-999,-999,18,18,-999,-999,FALSE
20223,20223_015,20223_015_27,Silverman,2013,170,78,-0.24,Hedge's g,-999,-999,-999,-999,-999,-999,42,36,-999,-999,FALSE
20223,20223_015,20223_015_28,Smeets,2014a,-999,53,0.11,Hedge's g,-999,-999,-999,-999,-999,-999,36,17,-999,-999,FALSE
20223,20223_015,20223_015_29,Smeets,2014a,-999,53,-0.18,Hedge's g,-999,-999,-999,-999,-999,-999,36,17,-999,-999,FALSE
20223,20223_015,20223_015_30,Smeets,2014a,-999,49,0.19,Hedge's g,-999,-999,-999,-999,-999,-999,33,16,-999,-999,FALSE
20223,20223_015,20223_015_31,Smeets,2014a,-999,49,0.13,Hedge's g,-999,-999,-999,-999,-999,-999,33,16,-999,-999,FALSE
20223,20223_015,20223_015_32,Smeets,2014b,435,56,-0.25,Hedge's g,-999,-999,-999,-999,-999,-999,28,28,-999,-999,FALSE
20223,20223_015,20223_015_33,Smeets,2014b,435,42,0.07,Hedge's g,-999,-999,-999,-999,-999,-999,21,21,-999,-999,FALSE
20223,20223_015,20223_015_34,Terrell,1996,779,52,-0.58,Hedge's g,-999,-999,-999,-999,-999,-999,26,26,-999,-999,FALSE
20223,20223_015,20223_015_35,Valkenburg,1997,21,128,0.14,Hedge's g,-999,-999,-999,-999,-999,-999,64,64,-999,-999,FALSE
20223,20223_015,20223_015_36,Verhallen,2006,410,20,1.16,Hedge's g,-999,-999,-999,-999,-999,-999,10,10,-999,-999,FALSE
20223,20223_015,20223_015_37,Verhallen,2006,410,20,1.07,Hedge's g,-999,-999,-999,-999,-999,-999,10,10,-999,-999,FALSE
20223,20223_015,20223_015_38,Verhallen,2006,410,20,0.36,Hedge's g,-999,-999,-999,-999,-999,-999,10,10,-999,-999,FALSE
20223,20223_015,20223_015_39,Verhallen,2006,410,20,0.62,Hedge's g,-999,-999,-999,-999,-999,-999,10,10,-999,-999,FALSE
20223,20223_015,20223_015_40,Verhallen,2009a,172,42,0.54,Hedge's g,-999,-999,-999,-999,-999,-999,22,20,-999,-999,FALSE
20223,20223_015,20223_015_41,Verhallen,2009a,172,42,0.54,Hedge's g,-999,-999,-999,-999,-999,-999,22,20,-999,-999,FALSE
20223,20223_015,20223_015_42,Verhallen,2009a,172,44,0.39,Hedge's g,-999,-999,-999,-999,-999,-999,21,23,-999,-999,FALSE
20223,20223_015,20223_015_43,Verhallen,2009a,172,44,0.59,Hedge's g,-999,-999,-999,-999,-999,-999,21,23,-999,-999,FALSE
20223,20223_015,20223_015_44,Verhallen,2009b,-999,42,0.98,Hedge's g,-999,-999,-999,-999,-999,-999,22,20,-999,-999,FALSE
20223,20223_015,20223_015_45,Verhallen,2009b,-999,42,0.02,Hedge's g,-999,-999,-999,-999,-999,-999,22,20,-999,-999,FALSE
20223,20223_015,20223_015_46,Verhallen,2009b,-999,25,-0.23,Hedge's g,-999,-999,-999,-999,-999,-999,13,12,-999,-999,FALSE
20223,20223_015,20223_015_47,Verhallen,2009b,-999,25,0.89,Hedge's g,-999,-999,-999,-999,-999,-999,13,12,-999,-999,FALSE
20223,20223_015,20223_015_48,Verhallen,2010,54,63,0.36,Hedge's g,-999,-999,-999,-999,-999,-999,34,29,-999,-999,FALSE
20223,20223_015,20223_015_49,Williamson,1983,5,20,0.15,Hedge's g,-999,-999,-999,-999,-999,-999,10,10,-999,-999,FALSE
20223,20223_015,20223_015_50,Williamson,1983,5,20,1,Hedge's g,-999,-999,-999,-999,-999,-999,10,10,-999,-999,FALSE
20746,20746_001,20746_001_1,de Jong,2002,145,48,-0.18,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_001,20746_001_2,Talley,1997,116,61,0.19,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_1,de Jong,2002,145,48,0.19,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_2,Doty,2001,374,39,0.53,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_3,Johnston,1997,33,55,0.55,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_4,Ricci,2002,138,66,0.49,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_5,Rehbin,2002,795,72,0.18,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_6,Talley,1997,116,61,0.16,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
20746,20746_003,20746_003_7,Verhallen,2006,410,60,1.11,Cohen's d,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_001,Lee,2017,672,1870,0.15,Correlation,0.11,0.2,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_002,Yang,2017,1833,119,0.17,Correlation,0.03,0.3,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_003,Hudon,2013,245,84,-0.01,Correlation,-0.22,0.2,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_004,Linebarger,2013,609,121,-0.16,Correlation,-0.32,0.02,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_005,Bittman,2011,161,2335,0.04,Correlation,0,0.08,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_006,Mendelsohn,2010,411,253,0.16,Correlation,0.04,0.28,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_007,Chonchaiya,2008,977,166,0.47,Correlation,0.31,0.59,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_008,Zimmerman,2007,364,345,-0.04,Correlation,-0.14,0.07,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_009,Zimmerman,2007,364,384,0.08,Correlation,-0.02,0.18,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_010,Arraf,1991,420,173,0.68,Correlation,0.59,0.75,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_011,Rice,1990,421,115,0.17,Correlation,-0.01,0.34,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_022,47783_022_012,Rice,1990,421,118,0.01,Correlation,-0.17,0.19,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_010,47783_010_001,Masur,2016,109,25,-0.28,Correlation,-0.61,0.13,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_010,47783_010_002,Hudon,2013,245,84,-0.28,Correlation,-0.47,-0.07,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_010,47783_010_003,Bittman,2011,161,2335,-0.06,Correlation,-0.1,-0.02,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_010,47783_010_004,Christakis,2009,554,329,-0.26,Correlation,-0.36,-0.16,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_010,47783_010_005,Nelson,1973,1,19,-0.17,Correlation,-0.58,0.31,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_001,Yang,2017,1833,119,-0.02,Correlation,-0.19,0.17,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_002,Alloway,2014,343,30,-0.13,Correlation,-0.47,0.24,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_003,Hudon,2013,245,84,-0.08,Correlation,-0.29,0.14,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_004,Barr,2010,21,53,0.2,Correlation,-0.07,0.45,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_005,Tomopoulos,2010,1105,259,-0.05,Correlation,-0.17,0.07,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_006,Zimmerman,2007,364,345,0.09,Correlation,-0.01,0.19,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_007,Zimmerman,2007,364,384,0.31,Correlation,0.22,0.4,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_008,Wright,2001,1347,90,0.15,Correlation,-0.06,0.35,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_009,Wright,2001,1347,92,0.11,Correlation,-0.1,0.31,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_010,Arraf,1990,420,173,0.53,Correlation,0.41,0.63,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_011,Rice,1990,421,115,0.22,Correlation,0.04,0.39,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_012,Rice,1990,421,118,0.07,Correlation,-0.12,0.24,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47783,47783_015,47783_015_013,Selnow,1982,469,93,0.11,Correlation,-0.1,0.3,-999,-999,-999,-999,-999,-999,-999,-999,FALSE
47769,47769_001,47769_001_001,Goldin,2014,6443,111,1.35,Hedge's g,0.92,1.78,-999,-999,-999,-999,73,38,-999,-999,FALSE
47769,47769_001,47769_001_002,Kuhn,2014,59,40,0.24,Hedge's g,-0.39,0.86,-999,-999,-999,-999,20,20,-999,-999,FALSE
47769,47769_001,47769_001_003,Kuhn,2014,59,39,0.31,Hedge's g,-0.32,0.94,-999,-999,-999,-999,19,20,-999,-999,FALSE
47769,47769_001,47769_001_004,St Clair-Thompson,2010,203,141,0.23,Hedge's g,-0.1,0.56,-999,-999,-999,-999,69,72,-999,-999,FALSE
47769,47769_001,47769_001_005,Dörrenbächer,2014,e1275,27,0.32,Hedge's g,-0.44,1.08,-999,-999,-999,-999,14,13,-999,-999,FALSE
47769,47769_001,47769_001_006,Dörrenbächer,2014,e1275,27,0.39,Hedge's g,-0.37,1.15,-999,-999,-999,-999,14,13,-999,-999,FALSE
47769,47769_001,47769_001_007,Dörrenbächer,2014,e1275,27,-0.66,Hedge's g,-1.44,0.12,-999,-999,-999,-999,13,14,-999,-999,FALSE
47769,47769_001,47769_001_008,Dörrenbächer,2014,e1275,27,-0.42,Hedge's g,-1.19,0.34,-999,-999,-999,-999,13,14,-999,-999,FALSE
47769,47769_001,47769_001_009,Goldin,2014,6443,111,0.99,Hedge's g,0.58,1.4,-999,-999,-999,-999,73,38,-999,-999,FALSE
47769,47769_001,47769_001_010,Kuhn,2014,59,40,0.42,Hedge's g,-0.21,1.05,-999,-999,-999,-999,20,20,-999,-999,FALSE
47769,47769_001,47769_001_011,Kuhn,2014,59,39,0.46,Hedge's g,-0.18,1.09,-999,-999,-999,-999,19,20,-999,-999,FALSE
47769,47769_001,47769_001_012,Núñez,2014,19,51,1.71,Hedge's g,1.06,2.36,-999,-999,-999,-999,25,26,-999,-999,FALSE
47769,47769_001,47769_001_013,Rauscher,2016,-999,92,0.15,Hedge's g,-0.26,0.56,-999,-999,-999,-999,43,49,-999,-999,FALSE
47769,47769_001,47769_001_014,Rauscher,2016,-999,92,-0.05,Hedge's g,-0.46,0.36,-999,-999,-999,-999,43,49,-999,-999,FALSE
47769,47769_001,47769_001_015,St Clair-Thompson,2010,203,77,-0.09,Hedge's g,-0.55,0.36,-999,-999,-999,-999,46,31,-999,-999,FALSE
47769,47769_001,47769_001_016,St Clair-Thompson,2010,203,81,0.06,Hedge's g,-0.37,0.5,-999,-999,-999,-999,39,42,-999,-999,FALSE
47769,47769_001,47769_001_017,van der Ven,2017,200,102,0.32,Hedge's g,-0.07,0.71,-999,-999,-999,-999,52,50,-999,-999,FALSE
47769,47769_001,47769_001_018,Dörrenbächer,2014,e1275,27,-0.09,Hedge's g,-0.85,0.66,-999,-999,-999,-999,14,13,-999,-999,FALSE
47769,47769_001,47769_001_019,Dörrenbächer,2014,e1275,27,-0.11,Hedge's g,-0.87,0.64,-999,-999,-999,-999,14,13,-999,-999,FALSE
47769,47769_001,47769_001_020,Dörrenbächer,2014,e1275,27,-0.59,Hedge's g,-1.36,0.18,-999,-999,-999,-999,13,14,-999,-999,FALSE
47769,47769_001,47769_001_021,Dörrenbächer,2014,e1275,27,0.37,Hedge's g,-0.39,1.14,-999,-999,-999,-999,13,14,-999,-999,FALSE
47769,47769_001,47769_001_022,Johnstone,2012,11,48,2.03,Hedge's g,1.33,2.74,-999,-999,-999,-999,23,25,-999,-999,FALSE
47769,47769_001,47769_001_023,Kast,2007,1,37,0.97,Hedge's g,0.28,1.65,-999,-999,-999,-999,18,19,-999,-999,FALSE
47769,47769_001,47769_001_024,St Clair-Thompson,2010,203,254,0.35,Hedge's g,0.1,0.6,-999,-999,-999,-999,117,137,-999,-999,FALSE
47769,47769_001,47769_001_025,St Clair-Thompson,2010,203,77,0.69,Hedge's g,0.22,1.15,-999,-999,-999,-999,46,31,-999,-999,FALSE
47769,47769_001,47769_001_026,Johnstone,2012,11,48,0.99,Hedge's g,0.39,1.6,-999,-999,-999,-999,23,25,-999,-999,FALSE
47769,47769_001,47769_001_027,Núñez,2014,19,51,1.07,Hedge's g,0.48,1.66,-999,-999,-999,-999,25,26,-999,-999,FALSE
47769,47769_001,47769_001_028,Bikic,2017,455,17,-0.41,Hedge's g,-1.37,0.56,-999,-999,-999,-999,9,8,-999,-999,FALSE
47769,47769_001,47769_001_029,Bikic,2018,1563,65,0.32,Hedge's g,-0.17,0.81,-999,-999,-999,-999,31,34,-999,-999,FALSE
47769,47769_001,47769_001_030,de Vries,2015,566,60,0.54,Hedge's g,0.02,1.05,-999,-999,-999,-999,31,29,-999,-999,FALSE
47769,47769_001,47769_001_031,de Vries,2015,566,55,0.27,Hedge's g,-0.27,0.8,-999,-999,-999,-999,26,29,-999,-999,FALSE
47769,47769_001,47769_001_032,Dovis,2015,e0121651,58,0.47,Hedge's g,-0.05,1,-999,-999,-999,-999,30,28,-999,-999,FALSE
47769,47769_001,47769_001_033,Franceschini,2013,462,20,0.41,Hedge's g,-0.48,1.3,-999,-999,-999,-999,10,10,-999,-999,FALSE
47769,47769_001,47769_001_034,Franceschini,2017,-999,28,0.6,Hedge's g,-0.16,1.37,-999,-999,-999,-999,16,12,-999,-999,FALSE
47769,47769_001,47769_001_035,Packiam,2013,632,55,0.42,Hedge's g,-0.12,0.97,-999,-999,-999,-999,23,32,-999,-999,FALSE
47769,47769_001,47769_001_036,Prins,2013,115,51,0.64,Hedge's g,0.07,1.2,-999,-999,-999,-999,27,24,-999,-999,FALSE
47769,47769_001,47769_001_037,Wuang,2018,27,60,0.1,Hedge's g,-0.4,0.61,-999,-999,-999,-999,30,30,-999,-999,FALSE
47769,47769_001,47769_001_038,Bikic,2017,455,17,-0.05,Hedge's g,-1,0.9,-999,-999,-999,-999,9,8,-999,-999,FALSE
47769,47769_001,47769_001_039,Bikic,2018,1563,65,0.28,Hedge's g,-0.21,0.77,-999,-999,-999,-999,31,34,-999,-999,FALSE
47769,47769_001,47769_001_040,de Vries,2015,566,60,-0.13,Hedge's g,-0.64,0.38,-999,-999,-999,-999,31,29,-999,-999,FALSE
47769,47769_001,47769_001_041,de Vries,2015,566,55,0.1,Hedge's g,-0.43,0.63,-999,-999,-999,-999,26,29,-999,-999,FALSE
47769,47769_001,47769_001_042,Dörrenbächer,2018,64,26,2.71,Hedge's g,1.6,3.82,-999,-999,-999,-999,13,13,-999,-999,FALSE
47769,47769_001,47769_001_043,Dovis,2015,e0121651,58,0.13,Hedge's g,-0.39,0.64,-999,-999,-999,-999,30,28,-999,-999,FALSE
47769,47769_001,47769_001_044,Johnstone,2010,31,29,-0.14,Hedge's g,-0.87,0.59,-999,-999,-999,-999,15,14,-999,-999,FALSE
47769,47769_001,47769_001_045,Johnstone,2012,11,42,4.01,Hedge's g,2.93,5.1,-999,-999,-999,-999,22,20,-999,-999,FALSE
47769,47769_001,47769_001_046,Käser,2013,-999,32,0.04,Hedge's g,-0.65,0.74,-999,-999,-999,-999,15,17,-999,-999,FALSE
47769,47769_001,47769_001_047,Käser,2013,-999,32,0.37,Hedge's g,-0.33,1.07,-999,-999,-999,-999,15,17,-999,-999,FALSE
47769,47769_001,47769_001_048,Packiam,2013,632,55,0.3,Hedge's g,-0.24,0.84,-999,-999,-999,-999,23,32,-999,-999,FALSE
47769,47769_001,47769_001_049,Bishop,2006,19,21,-0.62,Hedge's g,-1.51,0.27,-999,-999,-999,-999,12,9,-999,-999,FALSE
47769,47769_001,47769_001_050,Bishop,2006,19,21,-0.37,Hedge's g,-1.25,0.5,-999,-999,-999,-999,12,9,-999,-999,FALSE
47769,47769_001,47769_001_051,Dovis,2015,e0121651,58,0,Hedge's g,-0.52,0.52,-999,-999,-999,-999,30,28,-999,-999,FALSE
47769,47769_001,47769_001_052,Franceschini,2013,462,20,0.24,Hedge's g,-0.64,1.12,-999,-999,-999,-999,10,10,-999,-999,FALSE
47769,47769_001,47769_001_053,Franceschini,2017,-999,28,4.77,Hedge's g,3.23,6.31,-999,-999,-999,-999,16,12,-999,-999,FALSE
47769,47769_001,47769_001_054,Franceschini,2017,-999,28,0.07,Hedge's g,-0.68,0.82,-999,-999,-999,-999,16,12,-999,-999,FALSE
47769,47769_001,47769_001_055,Johnstone,2012,11,42,1.64,Hedge's g,0.93,2.35,-999,-999,-999,-999,22,20,-999,-999,FALSE
47769,47769_001,47769_001_056,Kast,2007,1,43,0.37,Hedge's g,-0.24,0.97,-999,-999,-999,-999,20,23,-999,-999,FALSE
47769,47769_001,47769_001_057,Luniewska,2018,549,54,0.3,Hedge's g,-0.24,0.84,-999,-999,-999,-999,27,27,-999,-999,FALSE
47769,47769_001,47769_001_058,Luniewska,2018,549,54,0.24,Hedge's g,-0.29,0.78,-999,-999,-999,-999,27,27,-999,-999,FALSE
47769,47769_001,47769_001_059,Packiam,2013,632,55,0.19,Hedge's g,-0.35,0.73,-999,-999,-999,-999,23,32,-999,-999,FALSE
47769,47769_001,47769_001_060,Bikic,2017,455,17,-0.22,Hedge's g,-1.17,0.74,-999,-999,-999,-999,9,8,-999,-999,FALSE
47769,47769_001,47769_001_061,Bikic,2018,1563,65,0.09,Hedge's g,-0.4,0.57,-999,-999,-999,-999,31,34,-999,-999,FALSE
47769,47769_001,47769_001_062,de Vries,2015,566,61,0.16,Hedge's g,-0.34,0.67,-999,-999,-999,-999,30,31,-999,-999,FALSE
47769,47769_001,47769_001_063,de Vries,2015,566,56,0.14,Hedge's g,-0.38,0.67,-999,-999,-999,-999,25,31,-999,-999,FALSE
