Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
48113,48113_006,48113_006_003,Haerens,2007,443,1710,-0.03,Standard Mean Difference,-0.13,0.07,-999,-999,-999,-999,1055,655,-999,-999,TRUE
48113,48113_006,48113_006_004,Haerens,2006,911,1212,0,Standard Mean Difference,-0.15,0.15,-999,-999,-999,-999,999,213,-999,-999,TRUE
48113,48113_006,48113_006_005,Haerens,2007,443,1340,0.09,Standard Mean Difference,-0.02,0.2,-999,-999,-999,-999,685,655,-999,-999,TRUE
48113,48113_010,48113_010_001,Prochaska,2004,314,62,0,Standard Mean Difference,-0.5,0.5,-999,-999,-999,-999,29,33,-999,-999,FALSE
48113,48113_010,48113_010_002,Haerens,2006,911,77,0.19,Standard Mean Difference,-0.26,0.64,-999,-999,-999,-999,41,36,-999,-999,FALSE
48113,48113_010,48113_010_003,Prochaska,2004,314,61,0.21,Standard Mean Difference,-0.3,0.71,-999,-999,-999,-999,28,33,-999,-999,FALSE
48113,48113_010,48113_010_004,Haerens,2006,911,63,0.27,Standard Mean Difference,-0.36,0.9,-999,-999,-999,-999,51,12,-999,-999,FALSE
48113,48113_010,48113_010_005,Prochaska,2004,314,31,0.91,Standard Mean Difference,0.16,1.66,-999,-999,-999,-999,18,13,-999,-999,FALSE
48113,48113_010,48113_010_006,Prochaska,2004,314,30,0.96,Standard Mean Difference,0.19,1.73,-999,-999,-999,-999,17,13,-999,-999,FALSE
48113,48113_013,48113_013_001,Ezendam,2012,248,201,-0.11,Standard Mean Difference,-0.39,0.17,-999,-999,-999,-999,116,85,-999,-999,FALSE
48113,48113_013,48113_013_002,Ezendam,2012,248,822,0,Standard Mean Difference,-0.14,0.14,-999,-999,-999,-999,444,378,-999,-999,FALSE
48113,48113_013,48113_013_003,Ezendam,2012,248,864,0.02,Standard Mean Difference,-0.11,0.16,-999,-999,-999,-999,485,379,-999,-999,FALSE
48113,48113_013,48113_013_004,Velicer,2013,82,2983,0.05,Standard Mean Difference,-0.02,0.12,-999,-999,-999,-999,1579,1404,-999,-999,FALSE
48113,48113_013,48113_013_005,Haerens,2006,911,1157,-0.02,Standard Mean Difference,-0.17,0.13,-999,-999,-999,-999,943,214,-999,-999,FALSE
48113,48113_013,48113_013_006,Haerens,2006,911,773,0.06,Standard Mean Difference,-0.08,0.21,-999,-999,-999,-999,437,336,-999,-999,FALSE
48113,48113_013,48113_013_007,Casazza,2007,73,184,0.15,Standard Mean Difference,-0.14,0.44,-999,-999,-999,-999,92,92,-999,-999,FALSE
48113,48113_013,48113_013_008,Mauriello,2010,451,1300,0.19,Standard Mean Difference,0.08,0.3,-999,-999,-999,-999,837,463,-999,-999,FALSE
48113,48113_013,48113_013_009,Haerens,2006,911,773,0.25,Standard Mean Difference,0.11,0.39,-999,-999,-999,-999,437,336,-999,-999,FALSE
